Seismic Design Level,Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g),Floor Acceleration at the Threshold of Nonstructural Damage (g)
,Median,Beta,Median,Beta,Median,Beta,Median,Beta
,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete
high-code,0.3,0.6,0.6,0.6,1.2,0.6,2.4,0.6
moderate-code,0.25,0.6,0.5,0.6,1,0.6,2,0.6
low-code,0.2,0.6,0.4,0.6,0.8,0.6,1.6,0.6
pre-code,0.2,0.6,0.4,0.6,0.8,0.6,1.6,0.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
