Building and Service Interruption Time Multipliers,,,,,,
,,Structural Damage State,,,,
No.,Label,None,Slight,Moderate,Extensive ,Complete
1,RES1,0,0,0.5,1,1
2,RES2,0,0,0.5,1,1
3,RES3A,0,0,0.5,1,1
4,RES3B,0,0,0.5,1,1
5,RES3C,0,0,0.5,1,1
6,RES3D,0,0,0.5,1,1
7,RES3E,0,0,0.5,1,1
8,RES3F,0,0,0.5,1,1
9,RES4,0,0,0.5,1,1
10,RES5,0,0,0.5,1,1
11,RES6,0,0,0.5,1,1
12,COM1,0.5,0.1,0.1,0.3,0.4
13,COM2,0.5,0.1,0.2,0.3,0.4
14,COM3,0.5,0.1,0.2,0.3,0.4
15,COM4,0.5,0.1,0.1,0.2,0.3
16,COM5,0.5,0.1,0.05,0.03,0.03
17,COM6,0.5,0.1,0.5,0.5,0.5
18,COM7,0.5,0.1,0.5,0.5,0.5
19,COM8,0.5,0.1,1,1,1
20,COM9,0.5,0.1,1,1,1
21,COM10,0.1,0.1,1,1,1
22,IND1,0.5,0.5,1,1,1
23,IND2,0.5,0.1,0.2,0.3,0.4
24,IND3,0.5,0.2,0.2,0.3,0.4
25,IND4,0.5,0.2,0.2,0.3,0.4
26,IND5,0.5,0.2,0.2,0.3,0.4
27,IND6,0.5,0.1,0.2,0.3,0.4
28,AGR1,0,0,0.05,0.1,0.2
29,REL1,1,0.2,0.05,0.03,0.03
30,GOV1,0.5,0.1,0.02,0.03,0.03
31,GOV2,0.5,0.1,0.02,0.03,0.03
32,EDU1,0.5,0.1,0.02,0.05,0.05
33,EDU2,0.5,0.1,0.02,0.03,0.03
