damping ratio,Hysteretic curve type,"Hysteretic parameter, tao",Typical story height (m)
0.05,Kinematic hardening,[],3.6576000000000004
No. of story,Floor mass (kg),Elastic shear stiffness (N/m),Design shear force (N),Design displacement (m),Yield shear force (N),Yield displacement (m),Ultimate shear force (N),Ultimage displacement (m),Complete damage displacement (m)
1,2511675.0,1551304330.1392283,14842492.245000003,0.009567750154908612,16326741.469500005,0.010524525170399476,48980224.408500016,0.12629430204479367,0.14630400000000002
2,2511675.0,1551304330.1392283,14512659.084000004,0.009355133484799534,15963924.992400005,0.010290646833279486,47891774.97720002,0.12348776199935382,0.14630400000000002
3,2511675.0,1551304330.1392283,13852992.762000004,0.008929900144581372,15238292.038200006,0.00982289015903951,45714876.11460002,0.1178746819084741,0.14630400000000002
4,2511675.0,1551304330.1392283,12863493.279000003,0.00829205013425413,14149842.606900005,0.009121255147679546,42449527.82070001,0.10945506177215451,0.14630400000000002
5,2511675.0,1551304330.1392283,11544160.635000002,0.007441583453817809,12698576.698500004,0.008185741799199592,38095730.09550001,0.09822890159039506,0.14630400000000002
6,2511675.0,1551304330.1392283,9894994.830000004,0.006378500103272409,10884494.313000005,0.007016350113599651,32653482.939000014,0.08419620136319579,0.14630400000000002
7,2511675.0,1551304330.1392283,7915995.864000001,0.005102800082617926,8707595.450400002,0.00561308009087972,26122786.351200007,0.06735696109055662,0.14630400000000002
8,2511675.0,1551304330.1392283,5607163.737000002,0.003614483391854365,6167880.110700002,0.003975931731039802,18503640.332100004,0.0477111807724776,0.14630400000000002
9,2511675.0,1551304330.1392283,2968498.449,0.0019135500309817222,3265348.2939000004,0.0021049050340798945,9796044.881700002,0.025258860408958736,0.14630400000000002
